customer_id,anno,stato
6253,2021,Single
6253,2024,Coppia
4685,2021,Single
4685,2024,Single
1732,2021,Single
1732,2024,Famiglia
4743,2021,Single
4743,2024,Single
4522,2021,Single
4522,2024,Single
6341,2021,Single
6341,2024,Single
577,2021,Single
577,2024,Coppia
5203,2021,Single
5203,2024,Famiglia
6364,2021,Single
6364,2024,Famiglia
440,2021,Single
440,2024,Coppia
2751,2021,Single
2751,2024,Single
7488,2021,Single
7488,2024,Coppia
5273,2021,Single
5273,2024,Coppia
5654,2021,Single
5654,2024,Single
4000,2021,Single
4000,2024,Single
6034,2021,Single
6034,2024,Coppia
583,2021,Single
583,2024,Coppia
9931,2021,Single
9931,2024,Single
7052,2021,Single
7052,2024,Single
8159,2021,Single
8159,2024,Single
9897,2021,Single
9897,2024,Single
2250,2021,Single
2250,2024,Single
4641,2021,Single
4641,2024,Single
9486,2021,Single
9486,2024,Single
4948,2021,Single
4948,2024,Famiglia
9921,2021,Single
9921,2024,Famiglia
1964,2021,Single
1964,2024,Famiglia
8244,2021,Single
8244,2024,Coppia
6591,2021,Single
6591,2024,Coppia
8848,2021,Single
8848,2024,Single
322,2021,Single
322,2024,Single
2679,2021,Single
2679,2024,Single
4626,2021,Single
4626,2024,Single
4950,2021,Single
4950,2024,Famiglia
8329,2021,Single
8329,2024,Single
3338,2021,Single
3338,2024,Single
5590,2021,Single
5590,2024,Famiglia
252,2021,Single
252,2024,Single
3974,2021,Single
3974,2024,Single
6631,2021,Single
6631,2024,Famiglia
5548,2021,Single
5548,2024,Famiglia
36,2021,Single
36,2024,Famiglia
8363,2021,Single
8363,2024,Coppia
1514,2021,Single
1514,2024,Famiglia
9318,2021,Single
9318,2024,Single
40,2021,Single
40,2024,Coppia
4820,2021,Single
4820,2024,Single
3466,2021,Single
3466,2024,Single
1761,2021,Single
1761,2024,Coppia
2305,2021,Single
2305,2024,Single
3724,2021,Single
3724,2024,Single
8285,2021,Single
8285,2024,Single
4994,2021,Single
4994,2024,Famiglia
8128,2021,Single
8128,2024,Coppia
3033,2021,Single
3033,2024,Single
7939,2021,Single
7939,2024,Coppia
3040,2021,Single
3040,2024,Famiglia
9656,2021,Single
9656,2024,Coppia
2546,2021,Single
2546,2024,Single
2593,2021,Single
2593,2024,Famiglia
1189,2021,Single
1189,2024,Single
7967,2021,Single
7967,2024,Coppia
6078,2021,Single
6078,2024,Coppia
108,2021,Single
108,2024,Single
1316,2021,Single
1316,2024,Single
8188,2021,Single
8188,2024,Single
2754,2021,Single
2754,2024,Single
9754,2021,Single
9754,2024,Coppia
6232,2021,Single
6232,2024,Single
2877,2021,Single
2877,2024,Coppia
5324,2021,Single
5324,2024,Single
800,2021,Single
800,2024,Famiglia
3571,2021,Single
3571,2024,Single
2895,2021,Single
2895,2024,Famiglia
2928,2021,Single
2928,2024,Single
8179,2021,Single
8179,2024,Coppia
972,2021,Single
972,2024,Coppia
6688,2021,Single
6688,2024,Single
8576,2021,Single
8576,2024,Single
2021,2021,Single
2021,2024,Coppia
9055,2021,Single
9055,2024,Single
953,2021,Single
953,2024,Single
5360,2021,Single
5360,2024,Famiglia
3858,2021,Single
3858,2024,Coppia
5862,2021,Single
5862,2024,Famiglia
3146,2021,Single
3146,2024,Single
3306,2021,Single
3306,2024,Single
3007,2021,Single
3007,2024,Famiglia
9002,2021,Single
9002,2024,Famiglia
7771,2021,Single
7771,2024,Single
7439,2021,Single
7439,2024,Famiglia
7943,2021,Single
7943,2024,Famiglia
9239,2021,Single
9239,2024,Coppia
1057,2021,Single
1057,2024,Coppia
3155,2021,Single
3155,2024,Single
3788,2021,Single
3788,2024,Coppia
9190,2021,Single
9190,2024,Single
7826,2021,Single
7826,2024,Famiglia
7540,2021,Single
7540,2024,Single
7232,2021,Single
7232,2024,Famiglia
765,2021,Single
765,2024,Coppia
5020,2021,Single
5020,2024,Famiglia
4904,2021,Single
4904,2024,Single
8094,2021,Single
8094,2024,Coppia
6844,2021,Single
6844,2024,Famiglia
2166,2021,Single
2166,2024,Famiglia
1863,2021,Single
1863,2024,Famiglia
7851,2021,Single
7851,2024,Coppia
9124,2021,Single
9124,2024,Single
2341,2021,Single
2341,2024,Famiglia
5528,2021,Single
5528,2024,Famiglia
6744,2021,Single
6744,2024,Single
4004,2021,Single
4004,2024,Single
1124,2021,Single
1124,2024,Coppia
8710,2021,Single
8710,2024,Single
4050,2021,Single
4050,2024,Coppia
7641,2021,Single
7641,2024,Single
766,2021,Single
766,2024,Single
2345,2021,Single
2345,2024,Single
4072,2021,Single
4072,2024,Coppia
7217,2021,Single
7217,2024,Coppia
4217,2021,Single
4217,2024,Single
7953,2021,Single
7953,2024,Single
5971,2021,Single
5971,2024,Single
3351,2021,Single
3351,2024,Single
4696,2021,Single
4696,2024,Single
3400,2021,Single
3400,2024,Single
4082,2021,Single
4082,2024,Single
9150,2021,Single
9150,2024,Famiglia
1225,2021,Single
1225,2024,Coppia
6293,2021,Single
6293,2024,Single
3123,2021,Single
3123,2024,Coppia
511,2021,Single
511,2024,Famiglia
5795,2021,Single
5795,2024,Coppia
8182,2021,Single
8182,2024,Single
9418,2021,Single
9418,2024,Coppia
97,2021,Single
97,2024,Coppia
6682,2021,Single
6682,2024,Single
