anno_mese,customer_id,cod_operazione,numero_operazioni
2026-01,1,PRE,3
2026-01,1,BON,2
2026-01,1,PCD,8
2026-02,1,BON,2
2026-02,1,PCD,4
2026-02,1,VER,2
2026-03,1,PRE,1
2026-03,1,BON,1
2026-03,1,PCD,5
2026-03,1,PAP,1
2026-04,1,PRE,1
2026-04,1,PCD,5
2026-04,1,PAP,1
2026-01,2,PRE,1
2026-01,2,BON,2
2026-01,2,PCC,4
2026-01,2,PCD,1
2026-01,2,VER,1
2026-02,2,PRE,3
2026-02,2,BON,1
2026-02,2,PCC,9
2026-02,2,PCD,7
2026-02,2,VER,2
2026-03,2,PRE,2
2026-03,2,PCD,1
2026-03,2,VER,1
2026-04,2,PRE,4
2026-04,2,BON,2
2026-04,2,PCC,5
2026-04,2,PCD,3
2026-04,2,VER,2
2026-01,3,PRE,1
2026-01,3,PCC,7
2026-01,3,PCD,4
2026-01,3,PAP,2
2026-01,3,VER,1
2026-02,3,PRE,3
2026-02,3,BON,2
2026-02,3,PCC,3
2026-02,3,PCD,9
2026-02,3,PAP,1
2026-02,3,VER,2
2026-03,3,PRE,2
2026-03,3,BON,1
2026-03,3,PCC,8
2026-03,3,PCD,3
2026-03,3,PAP,1
2026-03,3,VER,2
2026-04,3,PRE,2
2026-04,3,PCC,7
2026-04,3,PCD,10
2026-04,3,PAP,1
2026-04,3,VER,2
2026-01,4,PRE,2
2026-01,4,BON,1
2026-01,4,PCC,9
2026-01,4,PCD,8
2026-01,4,PAP,2
2026-02,4,BON,1
2026-02,4,PCC,5
2026-02,4,PCD,3
2026-02,4,VER,2
2026-03,4,PRE,1
2026-03,4,BON,1
2026-03,4,PCC,10
2026-03,4,PCD,1
2026-03,4,PAP,1
2026-03,4,VER,2
2026-04,4,BON,1
2026-04,4,PCC,8
2026-04,4,PCD,6
2026-04,4,PAP,2
2026-01,5,PRE,4
2026-01,5,BON,2
2026-01,5,PCC,4
2026-01,5,PCD,9
2026-01,5,VER,1
2026-02,5,PRE,2
2026-02,5,BON,2
2026-02,5,PCC,5
2026-02,5,PCD,1
2026-02,5,PAP,1
2026-02,5,VER,1
2026-03,5,PRE,3
2026-03,5,PCC,1
2026-03,5,PCD,6
2026-04,5,PRE,1
2026-04,5,BON,2
2026-04,5,PCC,5
2026-04,5,PCD,4
2026-04,5,PAP,2
2026-01,6,PRE,3
2026-01,6,BON,1
2026-01,6,PCC,7
2026-01,6,PCD,8
2026-01,6,PAP,1
2026-01,6,VER,1
2026-02,6,BON,1
2026-02,6,PCC,9
2026-02,6,PCD,8
2026-02,6,PAP,2
2026-03,6,PRE,2
2026-03,6,PCC,8
2026-03,6,PCD,3
2026-03,6,PAP,1
2026-04,6,BON,1
2026-04,6,PCC,5
2026-04,6,PCD,3
2026-04,6,PAP,1
2026-01,7,PRE,4
2026-01,7,BON,2
2026-01,7,PCD,4
2026-01,7,VER,1
2026-02,7,PRE,1
2026-02,7,BON,2
2026-02,7,PCD,4
2026-03,7,PRE,3
2026-03,7,BON,2
2026-03,7,PCD,5
2026-03,7,PAP,1
2026-04,7,PRE,3
2026-04,7,BON,1
2026-04,7,PCD,1
2026-04,7,VER,2
2026-01,8,PRE,1
2026-01,8,PCC,9
2026-01,8,PCD,4
2026-01,8,PAP,1
2026-02,8,PRE,3
2026-02,8,PCC,6
2026-02,8,PCD,8
2026-02,8,PAP,1
2026-02,8,VER,1
2026-03,8,PRE,4
2026-03,8,PCC,4
2026-03,8,PCD,3
2026-03,8,PAP,1
2026-03,8,VER,1
2026-04,8,BON,1
2026-04,8,PCC,8
2026-04,8,PCD,9
2026-04,8,PAP,1
2026-01,9,PRE,3
2026-01,9,BON,1
2026-01,9,PCD,10
2026-02,9,PRE,2
2026-02,9,BON,2
2026-02,9,PCD,6
2026-03,9,PRE,3
2026-03,9,PCD,10
2026-04,9,BON,1
2026-04,9,PCD,10
2026-04,9,VER,1
2026-01,10,PRE,3
2026-01,10,VER,2
2026-02,10,PRE,3
2026-02,10,PCD,5
2026-02,10,PAP,1
2026-02,10,VER,1
2026-03,10,PRE,3
2026-03,10,PCD,6
2026-04,10,PRE,4
2026-04,10,BON,1
2026-04,10,PAP,1
2026-04,10,VER,1
2026-01,11,PRE,1
2026-01,11,BON,2
2026-01,11,PCD,7
2026-01,11,PAP,1
2026-01,11,VER,2
2026-02,11,PRE,1
2026-02,11,BON,1
2026-02,11,PCD,7
2026-03,11,PRE,2
2026-03,11,BON,1
2026-03,11,PCD,5
2026-03,11,PAP,1
2026-03,11,VER,2
2026-04,11,PCD,7
2026-04,11,PAP,1
2026-01,12,PRE,1
2026-01,12,BON,2
2026-01,12,PCD,10
2026-01,12,PAP,1
2026-01,12,VER,1
2026-02,12,PRE,3
2026-02,12,BON,2
2026-02,12,PCD,8
2026-02,12,VER,2
2026-03,12,PRE,1
2026-03,12,BON,2
2026-03,12,PCD,10
2026-03,12,PAP,2
2026-04,12,PRE,3
2026-04,12,BON,1
2026-04,12,PCD,10
2026-04,12,PAP,2
2026-04,12,VER,1
2026-01,13,PRE,1
2026-01,13,BON,2
2026-01,13,PCD,4
2026-01,13,PAP,2
2026-01,13,VER,2
2026-02,13,PRE,2
2026-02,13,PCD,5
2026-02,13,PAP,2
2026-02,13,VER,1
2026-03,13,PRE,1
2026-03,13,BON,1
2026-03,13,PCD,6
2026-03,13,PAP,1
2026-04,13,PRE,1
2026-04,13,PCD,6
2026-04,13,PAP,2
2026-04,13,VER,2
2026-01,14,BON,1
2026-01,14,PCC,5
2026-01,14,PCD,5
2026-01,14,PAP,2
2026-01,14,VER,2
2026-02,14,BON,1
2026-02,14,PCC,5
2026-02,14,PCD,6
2026-02,14,PAP,2
2026-02,14,VER,1
2026-03,14,PCC,9
2026-03,14,PCD,4
2026-03,14,VER,2
2026-04,14,PRE,2
2026-04,14,BON,1
2026-04,14,PCC,7
2026-04,14,PCD,9
2026-04,14,PAP,1
2026-04,14,VER,2
2026-01,15,PRE,1
2026-01,15,BON,1
2026-01,15,PCD,3
2026-01,15,PAP,1
2026-02,15,PRE,1
2026-02,15,BON,1
2026-02,15,PCD,8
2026-02,15,PAP,1
2026-03,15,PRE,1
2026-03,15,BON,2
2026-03,15,PCD,7
2026-03,15,PAP,2
2026-04,15,PRE,3
2026-04,15,BON,2
2026-04,15,PCD,8
2026-04,15,PAP,1
2026-04,15,VER,2
2026-01,16,PRE,2
2026-01,16,BON,2
2026-01,16,PCD,8
2026-02,16,PRE,4
2026-02,16,BON,1
2026-02,16,PCD,3
2026-02,16,PAP,1
2026-02,16,VER,1
2026-03,16,PRE,2
2026-03,16,PCD,2
2026-03,16,VER,2
2026-04,16,PRE,3
2026-04,16,BON,2
2026-01,17,PRE,2
2026-01,17,BON,2
2026-01,17,PCC,5
2026-01,17,PCD,3
2026-01,17,PAP,1
2026-01,17,VER,1
2026-02,17,PRE,3
2026-02,17,PCC,7
2026-02,17,PCD,7
2026-02,17,VER,2
2026-03,17,PRE,4
2026-03,17,BON,1
2026-03,17,PCC,1
2026-03,17,PCD,4
2026-03,17,PAP,1
2026-03,17,VER,2
2026-04,17,PRE,2
2026-04,17,PCC,8
2026-04,17,PCD,4
2026-01,18,PRE,4
2026-01,18,PCC,3
2026-01,18,PCD,10
2026-01,18,VER,1
2026-02,18,PRE,2
