customer_id,prodotto
1,Conto Corrente
1,Carta Debito
2,Conto Corrente
2,Carta Debito
2,Carta Credito
2,Investimenti
3,Conto Corrente
3,Carta Debito
3,Carta Credito
3,Assicurazione Vita
4,Conto Corrente
4,Carta Debito
4,Carta Credito
5,Conto Corrente
5,Carta Debito
5,Carta Credito
6,Conto Corrente
6,Carta Debito
6,Carta Credito
7,Conto Corrente
7,Carta Debito
8,Conto Corrente
8,Carta Debito
8,Carta Credito
8,Investimenti
9,Conto Corrente
9,Carta Debito
9,Investimenti
10,Conto Corrente
10,Carta Debito
11,Conto Corrente
11,Carta Debito
12,Conto Corrente
12,Carta Debito
13,Conto Corrente
13,Carta Debito
13,Investimenti
14,Conto Corrente
14,Carta Debito
14,Carta Credito
15,Conto Corrente
15,Carta Debito
16,Conto Corrente
16,Carta Debito
16,Investimenti
17,Conto Corrente
17,Carta Debito
17,Carta Credito
18,Conto Corrente
18,Carta Debito
18,Carta Credito
18,Investimenti
19,Conto Corrente
19,Carta Debito
19,Mutuo
20,Conto Corrente
20,Carta Debito
21,Conto Corrente
21,Carta Debito
21,Carta Credito
22,Conto Corrente
22,Carta Debito
23,Conto Corrente
23,Carta Debito
23,Carta Credito
23,Investimenti
24,Conto Corrente
24,Carta Debito
25,Conto Corrente
25,Carta Debito
25,Carta Credito
26,Conto Corrente
26,Carta Debito
26,Carta Credito
27,Conto Corrente
27,Carta Debito
27,Carta Credito
27,Investimenti
28,Conto Corrente
28,Carta Debito
29,Conto Corrente
29,Carta Debito
29,Carta Credito
29,Mutuo
29,Assicurazione Casa
30,Conto Corrente
30,Carta Debito
31,Conto Corrente
31,Carta Debito
32,Conto Corrente
32,Carta Debito
32,Carta Credito
33,Conto Corrente
33,Carta Debito
33,Investimenti
34,Conto Corrente
34,Carta Debito
35,Conto Corrente
35,Carta Debito
35,Carta Credito
36,Conto Corrente
36,Carta Debito
36,Mutuo
36,Investimenti
36,Assicurazione Casa
37,Conto Corrente
37,Carta Debito
37,Investimenti
38,Conto Corrente
38,Carta Debito
38,Investimenti
39,Conto Corrente
39,Carta Debito
39,Investimenti
40,Conto Corrente
40,Carta Debito
41,Conto Corrente
41,Carta Debito
41,Carta Credito
42,Conto Corrente
42,Carta Debito
42,Carta Credito
43,Conto Corrente
43,Carta Debito
44,Conto Corrente
44,Carta Debito
44,Carta Credito
45,Conto Corrente
45,Carta Debito
45,Investimenti
46,Conto Corrente
46,Carta Debito
47,Conto Corrente
47,Carta Debito
47,Carta Credito
47,Investimenti
48,Conto Corrente
48,Carta Debito
48,Investimenti
49,Conto Corrente
49,Carta Debito
50,Conto Corrente
50,Carta Debito
51,Conto Corrente
51,Carta Debito
51,Investimenti
52,Conto Corrente
52,Carta Debito
52,Investimenti
53,Conto Corrente
53,Carta Debito
54,Conto Corrente
54,Carta Debito
54,Mutuo
54,Investimenti
55,Conto Corrente
55,Carta Debito
56,Conto Corrente
56,Carta Debito
57,Conto Corrente
57,Carta Debito
57,Carta Credito
58,Conto Corrente
58,Carta Debito
58,Carta Credito
59,Conto Corrente
59,Carta Debito
60,Conto Corrente
60,Carta Debito
61,Conto Corrente
61,Carta Debito
61,Investimenti
62,Conto Corrente
62,Carta Debito
62,Carta Credito
62,Investimenti
63,Conto Corrente
63,Carta Debito
63,Carta Credito
63,Investimenti
64,Conto Corrente
64,Carta Debito
64,Mutuo
65,Conto Corrente
65,Carta Debito
65,Investimenti
66,Conto Corrente
66,Carta Debito
66,Carta Credito
66,Assicurazione Vita
67,Conto Corrente
67,Carta Debito
68,Conto Corrente
68,Carta Debito
69,Conto Corrente
69,Carta Debito
70,Conto Corrente
70,Carta Debito
71,Conto Corrente
71,Carta Debito
71,Carta Credito
72,Conto Corrente
72,Carta Debito
73,Conto Corrente
73,Carta Debito
74,Conto Corrente
74,Carta Debito
74,Carta Credito
75,Conto Corrente
75,Carta Debito
75,Investimenti
75,Assicurazione Vita
76,Conto Corrente
76,Carta Debito
76,Mutuo
76,Investimenti
76,Assicurazione Casa
77,Conto Corrente
77,Carta Debito
77,Mutuo
77,Assicurazione Casa
78,Conto Corrente
78,Carta Debito
78,Investimenti
79,Conto Corrente
79,Carta Debito
79,Carta Credito
80,Conto Corrente
80,Carta Debito
81,Conto Corrente
81,Carta Debito
82,Conto Corrente
82,Carta Debito
83,Conto Corrente
83,Carta Debito
84,Conto Corrente
84,Carta Debito
85,Conto Corrente
85,Carta Debito
86,Conto Corrente
86,Carta Debito
87,Conto Corrente
87,Carta Debito
88,Conto Corrente
88,Carta Debito
88,Mutuo
88,Assicurazione Vita
89,Conto Corrente
89,Carta Debito
89,Investimenti
90,Conto Corrente
90,Carta Debito
91,Conto Corrente
91,Carta Debito
92,Conto Corrente
92,Carta Debito
93,Conto Corrente
93,Carta Debito
94,Conto Corrente
94,Carta Debito
94,Investimenti
95,Conto Corrente
95,Carta Debito
95,Carta Credito
96,Conto Corrente
96,Carta Debito
97,Conto Corrente
97,Carta Debito
97,Investimenti
98,Conto Corrente
98,Carta Debito
99,Conto Corrente
99,Carta Debito
99,Carta Credito
99,Mutuo
99,Investimenti
100,Conto Corrente
100,Carta Debito
100,Investimenti
100,Assicurazione Vita
101,Conto Corrente
101,Carta Debito
102,Conto Corrente
102,Carta Debito
103,Conto Corrente
103,Carta Debito
103,Investimenti
104,Conto Corrente
104,Carta Debito
104,Carta Credito
104,Assicurazione Vita
105,Conto Corrente
105,Carta Debito
105,Carta Credito
105,Mutuo
105,Assicurazione Casa
106,Conto Corrente
106,Carta Debito
107,Conto Corrente
107,Carta Debito
107,Investimenti
108,Conto Corrente
108,Carta Debito
108,Carta Credito
109,Conto Corrente
109,Carta Debito
109,Assicurazione Vita
110,Conto Corrente
110,Carta Debito
111,Conto Corrente
111,Carta Debito
111,Investimenti
112,Conto Corrente
112,Carta Debito
113,Conto Corrente
113,Carta Debito
114,Conto Corrente
114,Carta Debito
114,Mutuo
115,Conto Corrente
115,Carta Debito
116,Conto Corrente
116,Carta Debito
116,Carta Credito
117,Conto Corrente
117,Carta Debito
117,Investimenti
118,Conto Corrente
118,Carta Debito
119,Conto Corrente
119,Carta Debito
119,Investimenti
120,Conto Corrente
120,Carta Debito
121,Conto Corrente
121,Carta Debito
121,Investimenti
122,Conto Corrente
122,Carta Debito
122,Carta Credito
123,Conto Corrente
123,Carta Debito
124,Conto Corrente
124,Carta Debito
124,Investimenti
125,Conto Corrente
125,Carta Debito
125,Carta Credito
126,Conto Corrente
126,Carta Debito
127,Conto Corrente
127,Carta Debito
128,Conto Corrente
128,Carta Debito
128,Carta Credito
129,Conto Corrente
129,Carta Debito
129,Assicurazione Vita
130,Conto Corrente
130,Carta Debito
130,Mutuo
131,Conto Corrente
131,Carta Debito
131,Carta Credito
131,Investimenti
132,Conto Corrente
132,Carta Debito
133,Conto Corrente
133,Carta Debito
133,Investimenti
134,Conto Corrente
134,Carta Debito
135,Conto Corrente
135,Carta Debito
136,Conto Corrente
136,Carta Debito
136,Investimenti
137,Conto Corrente
137,Carta Debito
137,Investimenti
138,Conto Corrente
138,Carta Debito
139,Conto Corrente
139,Carta Debito
139,Assicurazione Vita
140,Conto Corrente
140,Carta Debito
140,Investimenti
141,Conto Corrente
141,Carta Debito
142,Conto Corrente
142,Carta Debito
143,Conto Corrente
143,Carta Debito
143,Carta Credito
143,Investimenti
144,Conto Corrente
144,Carta Debito
145,Conto Corrente
145,Carta Debito
146,Conto Corrente
146,Carta Debito
147,Conto Corrente
147,Carta Debito
148,Conto Corrente
148,Carta Debito
149,Conto Corrente
149,Carta Debito
149,Carta Credito
150,Conto Corrente
150,Carta Debito
151,Conto Corrente
151,Carta Debito
152,Conto Corrente
